,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,3847,337.0,1490,0.9194550669216062,0.720816938354881,0.8081083919756329,0.9049231357019022,0.7579873694277687,0.8246402619109061
1,discontinuous,38,,350,,0.0979381443298969,,,0.07501795590030884,
2,exact-meddra,3441,,722,,0.8265673792937785,,,0.8538072750871356,
3,negated,17,,15,,0.53125,,,0.5198412698412698,
4,non-meddra,406,,769,,0.345531914893617,,,0.4588877752954096,
