ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,3650.0,495.0,1466.0,0.8805790108564535,0.7134480062548866,0.7882518086599719,0.8548209371920996,0.7362774254441949,0.7920264849946405
discontinuous,22.0,0.0,348.0,1.0,0.05945945945945946,0.11224489795918367,,0.06258498190943043,
exact-meddra,3253.0,0.0,736.0,1.0,0.8154926046628228,0.8983706158519746,,0.8280491945731788,
negated,12.0,0.0,19.0,1.0,0.3870967741935484,0.5581395348837209,,0.4,
non-meddra,397.0,0.0,731.0,1.0,0.3519503546099291,0.520655737704918,,0.44882978288046094,
