ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,3846.0,564.0,1491.0,0.8721088435374149,0.7206295671725689,0.7891658971991382,0.8514552438844348,0.747143850158684,0.8039740169095851
discontinuous,42.0,0.0,346.0,1.0,0.10824742268041238,0.19534883720930232,,0.10751203045320694,
exact-meddra,3440.0,0.0,723.0,1.0,0.8263271679077588,0.9049059581744049,,0.8417535617816287,
negated,15.0,0.0,17.0,1.0,0.46875,0.6382978723404256,,0.42857142857142855,
non-meddra,406.0,0.0,769.0,1.0,0.345531914893617,0.5135989879822896,,0.46130889925966534,
