,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,3928,430.0,1409,0.9013308857273978,0.735994004122166,0.8103145951521402,0.8833974524173223,0.7691791196793077,0.8229372239025942
1,discontinuous,54,,334,,0.13917525773195877,,,0.16001795590030884,
2,exact-meddra,3488,,675,,0.8378573144367043,,,0.8612478870666946,
3,negated,17,,15,,0.53125,,,0.4880952380952381,
4,non-meddra,440,,735,,0.37446808510638296,,,0.47123249180432725,
