,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,2590,412.0,2747,0.8627581612258495,0.4852913621884954,0.6211775992325219,0.8357835015605758,0.5695220792383876,0.6468334273733508
1,discontinuous,29,,359,,0.07474226804123711,,,0.10614127702362997,
2,exact-meddra,2275,,1888,,0.5464809031948115,,,0.6437257933849905,
3,negated,10,,22,,0.3125,,,0.32142857142857145,
4,non-meddra,315,,860,,0.2680851063829787,,,0.3557655536864303,
