ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,2788.0,418.0,2549.0,0.8696194635059263,0.5223908562863032,0.6526981154161302,0.8424230989309148,0.611235646136103,0.6819248685802826
discontinuous,34.0,0.0,354.0,1.0,0.08762886597938144,0.16113744075829384,,0.1048807728219493,
exact-meddra,2453.0,0.0,1710.0,1.0,0.5892385299063175,0.7415356711003628,,0.68855167245949,
negated,11.0,0.0,21.0,1.0,0.34375,0.5116279069767442,,0.36904761904761907,
non-meddra,335.0,0.0,840.0,1.0,0.2851063829787234,0.44370860927152317,,0.3792201546402397,
