,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,2819,420.0,2518,0.870330348873109,0.5281993629379801,0.6574160447761194,0.8389647226754793,0.5894439889945624,0.6644291440040122
1,discontinuous,28,,360,,0.07216494845360824,,,0.07460604754722401,
2,exact-meddra,2475,,1688,,0.5945231803987509,,,0.6625942887837858,
3,negated,11,,21,,0.34375,,,0.36507936507936506,
4,non-meddra,344,,831,,0.2927659574468085,,,0.37731914387039633,
