,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,3957,465.0,1380,0.8948439620081411,0.7414277684092186,0.8109437442360897,0.8776820159669552,0.7681165328392908,0.8203512599794118
1,discontinuous,45,,343,,0.11597938144329897,,,0.1320692379515909,
2,exact-meddra,3509,,654,,0.8429017535431179,,,0.8601614110893122,
3,negated,19,,13,,0.59375,,,0.5833333333333334,
4,non-meddra,448,,727,,0.38127659574468087,,,0.47718666788247033,
