,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,3984,442.0,1353,0.9001355625847266,0.746486790331647,0.8161425791252688,0.8777445619193609,0.770290222367122,0.8304429243926609
1,discontinuous,52,,336,,0.13402061855670103,,,0.14779573367808663,
2,exact-meddra,3527,,636,,0.8472255584914725,,,0.8610190038856793,
3,negated,18,,14,,0.5625,,,0.5357142857142857,
4,non-meddra,457,,718,,0.38893617021276594,,,0.4762207224356033,
