ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,3772.0,521.0,1565.0,0.8786396459352435,0.706764099681469,0.7833852544132919,0.8590314899318049,0.7490932369482141,0.7987288358957961
discontinuous,47.0,0.0,341.0,1.0,0.1211340206185567,0.2160919540229885,,0.1511563599798894,
exact-meddra,3357.0,0.0,806.0,1.0,0.806389622868124,0.8928191489361702,,0.8406597693412868,
negated,17.0,0.0,15.0,1.0,0.53125,0.6938775510204082,,0.5238095238095238,
non-meddra,415.0,0.0,760.0,1.0,0.35319148936170214,0.5220125786163522,,0.4616713378123583,
