,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,2862,427.0,2475,0.8701733049559136,0.5362563237774031,0.6635752376536054,0.8362204116109528,0.5976890563231243,0.6791201996075674
1,discontinuous,33,,355,,0.08505154639175258,,,0.0987894132011779,
2,exact-meddra,2533,,1630,,0.6084554407878934,,,0.6747545694931397,
3,negated,12,,20,,0.375,,,0.38492063492063494,
4,non-meddra,329,,846,,0.28,,,0.3710905121455999,
