ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,2570.0,378.0,2767.0,0.8717774762550882,0.4815439385422522,0.6203983101991551,0.8417011912247765,0.5641216364366846,0.643976748494579
discontinuous,22.0,0.0,366.0,1.0,0.05670103092783505,0.1073170731707317,,0.06410543704661352,
exact-meddra,2243.0,0.0,1920.0,1.0,0.5387941388421811,0.7002809865750859,,0.6325985282558712,
negated,11.0,0.0,21.0,1.0,0.34375,0.5116279069767442,,0.36507936507936506,
non-meddra,327.0,0.0,848.0,1.0,0.2782978723404255,0.43541944074567246,,0.36086424095244907,
