,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,3949,521.0,1388,0.8834451901565995,0.7399287989507214,0.8053431222596105,0.8755202261095496,0.7767647170065274,0.8246293906574779
1,discontinuous,54,,334,,0.13917525773195877,,,0.18526215614450908,
2,exact-meddra,3507,,656,,0.8424213307710785,,,0.8691560353139911,
3,negated,13,,19,,0.40625,,,0.39285714285714285,
4,non-meddra,442,,733,,0.37617021276595747,,,0.49127660563778264,
