,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,4478,226.0,859,0.9519557823129252,0.8390481543938543,0.8919430335623942,0.9494027461059512,0.8703796014656437,0.9032226966780755
1,discontinuous,169,,219,,0.43556701030927836,,,0.4367543241072653,
2,exact-meddra,3775,,388,,0.9067979822243575,,,0.9289491920432466,
3,negated,26,,6,,0.8125,,,0.8253968253968254,
4,non-meddra,703,,472,,0.5982978723404255,,,0.6813500569247898,
