ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,2919.0,451.0,2418.0,0.8661721068249258,0.5469364811691961,0.6704950040197541,0.8369625488262606,0.5970681115029199,0.671280039667039
discontinuous,27.0,0.0,361.0,1.0,0.06958762886597938,0.13012048192771086,,0.0724859943977591,
exact-meddra,2563.0,0.0,1600.0,1.0,0.6156617823684842,0.7621171573000297,,0.6697272358995809,
negated,10.0,0.0,22.0,1.0,0.3125,0.47619047619047616,,0.31746031746031744,
non-meddra,356.0,0.0,819.0,1.0,0.3029787234042553,0.46505551926845196,,0.38028033743600903,
