,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,2591,303.0,2746,0.8953006219765031,0.48547873337080755,0.6295711335196209,0.8582384329667422,0.5706542929702016,0.6528241400060096
1,discontinuous,25,,363,,0.06443298969072164,,,0.08841413488472312,
2,exact-meddra,2263,,1900,,0.5435983665625751,,,0.6378344888834068,
3,negated,12,,20,,0.375,,,0.38095238095238093,
4,non-meddra,328,,847,,0.27914893617021275,,,0.37531223594599034,
