ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,3878.0,492.0,1459.0,0.8874141876430206,0.726625445006558,0.7990110229731122,0.8698339423496599,0.7505528390669043,0.8067774849408853
discontinuous,51.0,0.0,337.0,1.0,0.13144329896907217,0.2323462414578588,,0.12845812684047977,
exact-meddra,3451.0,0.0,712.0,1.0,0.8289694931539755,0.90648804833202,,0.8449397296588763,
negated,17.0,0.0,15.0,1.0,0.53125,0.6938775510204082,,0.5158730158730158,
non-meddra,427.0,0.0,748.0,1.0,0.36340425531914894,0.533083645443196,,0.4671916120799047,
