,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,4484,188.0,853,0.9597602739726028,0.8401723814877272,0.8959936057548207,0.9515630617379967,0.876052102547816,0.9068070199427446
1,discontinuous,195,,193,,0.5025773195876289,,,0.4668710374592727,
2,exact-meddra,3768,,395,,0.9051165025222195,,,0.9329724024598337,
3,negated,24,,8,,0.75,,,0.7301587301587302,
4,non-meddra,717,,458,,0.6102127659574468,,,0.6873555092065652,
