ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,3847.0,337.0,1490.0,0.9194550669216062,0.720816938354881,0.8081083919756329,0.9049231357019022,0.7579873694277688,0.8246402619109061
discontinuous,38.0,0.0,350.0,1.0,0.0979381443298969,0.1784037558685446,,0.07501795590030884,
exact-meddra,3441.0,0.0,722.0,1.0,0.8265673792937785,0.9050499736980537,,0.8538072750871356,
negated,17.0,0.0,15.0,1.0,0.53125,0.6938775510204082,,0.5198412698412699,
non-meddra,406.0,0.0,769.0,1.0,0.345531914893617,0.5135989879822896,,0.45888777529540953,
