,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,3490,228.0,1847,0.9386767079074771,0.6539254262694397,0.7708448371065708,0.9231930740793108,0.7147600417567986,0.7759481150841143
1,discontinuous,132,,256,,0.3402061855670103,,,0.33788770053475936,
2,exact-meddra,2924,,1239,,0.702378092721595,,,0.7694879257707876,
3,negated,19,,13,,0.59375,,,0.623015873015873,
4,non-meddra,566,,609,,0.4817021276595745,,,0.5409787894399429,
