ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,2862.0,427.0,2475.0,0.8701733049559136,0.5362563237774031,0.6635752376536054,0.8362204116109527,0.5976890563231243,0.6791201996075675
discontinuous,33.0,0.0,355.0,1.0,0.08505154639175258,0.15676959619952496,,0.0987894132011779,
exact-meddra,2533.0,0.0,1630.0,1.0,0.6084554407878934,0.7565710872162484,,0.6747545694931396,
negated,12.0,0.0,20.0,1.0,0.375,0.5454545454545454,,0.38492063492063494,
non-meddra,329.0,0.0,846.0,1.0,0.28,0.43750000000000006,,0.3710905121455999,
