ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,3934.0,507.0,1403.0,0.8858365233055618,0.7371182312160389,0.8046635303743096,0.8626015263941174,0.7576281694677695,0.8156432625483074
discontinuous,38.0,0.0,350.0,1.0,0.0979381443298969,0.1784037558685446,,0.1263641097464627,
exact-meddra,3508.0,0.0,655.0,1.0,0.8426615421570982,0.9146134793377656,,0.8515668582884486,
negated,16.0,0.0,16.0,1.0,0.5,0.6666666666666666,,0.507936507936508,
non-meddra,426.0,0.0,749.0,1.0,0.3625531914893617,0.5321673953778888,,0.4568104307669382,
