,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,4489,205.0,848,0.9563272262462719,0.841109237399288,0.8950254211942976,0.9507117443672245,0.8767792748174982,0.9057578684939347
1,discontinuous,195,,193,,0.5025773195876289,,,0.47489912048735583,
2,exact-meddra,3770,,393,,0.905596925294259,,,0.9324667411539282,
3,negated,24,,8,,0.75,,,0.7301587301587302,
4,non-meddra,720,,455,,0.6127659574468085,,,0.687107022423521,
