ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,2898.0,444.0,2439.0,0.8671454219030521,0.5430016863406408,0.6678188731420671,0.8402286562293537,0.626648518505503,0.6940539422935015
discontinuous,30.0,0.0,358.0,1.0,0.07731958762886598,0.14354066985645933,,0.1341801335918983,
exact-meddra,2559.0,0.0,1604.0,1.0,0.6147009368244055,0.7613805415055043,,0.6989705986559576,
negated,12.0,0.0,20.0,1.0,0.375,0.5454545454545454,,0.376984126984127,
non-meddra,339.0,0.0,836.0,1.0,0.2885106382978723,0.44782034346103033,,0.387418778551987,
