,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,4387,117.0,950,0.9740230905861457,0.8219973768034476,0.8915760593435627,0.9696971413740278,0.8586921424271898,0.9049033515005012
1,discontinuous,157,,231,,0.40463917525773196,,,0.3890681214210626,
2,exact-meddra,3727,,436,,0.895267835695412,,,0.9241788674241074,
3,negated,25,,7,,0.78125,,,0.7777777777777777,
4,non-meddra,660,,515,,0.5617021276595745,,,0.6513497367183341,
