,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,all,4515,328.0,822,0.9322733842659509,0.8459808881394042,0.887033398821218,0.9334562985910068,0.8803402866043621,0.9011233291437581
1,discontinuous,196,,192,,0.5051546391752577,,,0.5156837933308521,
2,exact-meddra,3796,,367,,0.9118424213307711,,,0.9392330947792269,
3,negated,26,,6,,0.8125,,,0.7936507936507937,
4,non-meddra,719,,456,,0.6119148936170212,,,0.7093498820187837,
