ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,4064.0,6156.0,1273.0,0.39765166340508806,0.7614764849166198,0.5224657710355467,0.35567612038320334,0.7642036366273744,0.47549508989000633
discontinuous,19.0,0.0,369.0,1.0,0.04896907216494845,0.09336609336609336,,0.06220498455792573,
exact-meddra,4037.0,0.0,126.0,1.0,0.9697333653615181,0.9846341463414634,,0.9691775859883025,
negated,16.0,0.0,16.0,1.0,0.5,0.6666666666666666,,0.5198412698412698,
non-meddra,27.0,0.0,1148.0,1.0,0.02297872340425532,0.04492512479201331,,0.020412768887459774,
