ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
all,2807.0,451.0,2530.0,0.8615715162676488,0.5259509087502342,0.6531704479348458,0.8408800783821098,0.6165322474235007,0.6795554151407722
discontinuous,29.0,0.0,359.0,1.0,0.07474226804123711,0.13908872901678657,,0.1041909071320836,
exact-meddra,2474.0,0.0,1689.0,1.0,0.5942829690127313,0.7455175531113456,,0.6908486205653401,
negated,16.0,0.0,16.0,1.0,0.5,0.6666666666666666,,0.4484126984126984,
non-meddra,333.0,0.0,842.0,1.0,0.2834042553191489,0.4416445623342175,,0.3671951578299717,
