,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5215,194.0,71,0.9641338509890922,0.986568293605751,0.9752220663861617,0.9688378725960551,0.9796614518931611,0.9731684567257258
1,adverse reactions,discontinuous,354,,2808,,0.11195445920303605,,,0.14203408392097036,
2,adverse reactions,exact-meddra,4085,,302,,0.9311602461819011,,,0.9101583464516005,
3,adverse reactions,negated,67,,1416,,0.045178691840863115,,,0.06743510515831447,
4,adverse reactions,non-meddra,1131,,2607,,0.3025682182985554,,,0.3202623970680924,
5,all-concat,all,6833,549.0,108,0.9256299105933351,0.9844402823800605,0.9541297214270753,0.9234887094247195,0.9655931463365814,0.9389230473931414
6,all-concat,discontinuous,650,,3398,,0.16057312252964426,,,0.16641971236563954,
7,all-concat,exact-meddra,4703,,391,,0.9232430310168827,,,0.8889967142956585,
8,all-concat,negated,116,,2258,,0.04886267902274642,,,0.06107784928055789,
9,all-concat,non-meddra,2130,,2451,,0.46496398166339226,,,0.4371732581006584,
10,boxed warnings,all,262,12.0,78,0.9562043795620438,0.7705882352941177,0.8534201954397393,0.9522347535505431,0.7982760721247564,0.844591124898168
11,boxed warnings,discontinuous,36,,71,,0.3364485981308411,,,0.39704739704739705,
12,boxed warnings,exact-meddra,135,,95,,0.5869565217391305,,,0.5969190755481079,
13,boxed warnings,negated,5,,50,,0.09090909090909091,,,0.5052083333333334,
14,boxed warnings,non-meddra,127,,165,,0.4349315068493151,,,0.5139075213276421,
15,warnings and precautions,all,2445,282.0,324,0.8965896589658966,0.8829902491874323,0.8897379912663754,0.9283531659346611,0.8159653946909381,0.8415001252608137
16,warnings and precautions,discontinuous,322,,1483,,0.17839335180055402,,,0.2223718767438682,
17,warnings and precautions,exact-meddra,1153,,727,,0.6132978723404255,,,0.54740430103656,
18,warnings and precautions,negated,51,,644,,0.07338129496402877,,,0.09956149150691453,
19,warnings and precautions,non-meddra,1292,,869,,0.5978713558537714,,,0.5685727979155318,
0,all,all,7922,488.0,473,0.941973840665874,0.9436569386539607,0.9218363809412893,0.9495245884016286,0.8831734774024196,0.8983474111259645
