,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3955,455.0,1454,0.8968253968253969,0.7311887594749492,0.8055810163967818,0.8769397827906555,0.7494901311016388,0.8174151258436755
1,adverse reactions,discontinuous,48,,349,,0.12090680100755667,,,0.12691270538065974,
2,adverse reactions,exact-meddra,3482,,681,,0.8364160461205861,,,0.8456712399944304,
3,adverse reactions,negated,24,,49,,0.3287671232876712,,,0.25047619047619046,
4,adverse reactions,non-meddra,473,,774,,0.3793103448275862,,,0.4707692010282751,
5,all-concat,all,4273,774.0,3109,0.8466415692490589,0.5788404226496884,0.6875854855579693,0.830948101607772,0.6189372870416229,0.6980242375471328
6,all-concat,discontinuous,69,,732,,0.08614232209737828,,,0.09674663255891482,
7,all-concat,exact-meddra,3683,,1144,,0.7629997928319867,,,0.7922225159015227,
8,all-concat,negated,34,,98,,0.25757575757575757,,,0.24682539682539684,
9,all-concat,non-meddra,590,,1966,,0.23082942097026604,,,0.290713083131768,
10,boxed warnings,all,170,166.0,104,0.5059523809523809,0.6204379562043796,0.5573770491803278,0.5296698346034866,0.5974410243179593,0.5557878201413451
11,boxed warnings,discontinuous,9,,28,,0.24324324324324326,,,0.16758241758241757,
12,boxed warnings,exact-meddra,117,,19,,0.8602941176470589,,,0.7702211484045101,
13,boxed warnings,negated,3,,2,,0.6,,,0.625,
14,boxed warnings,non-meddra,53,,85,,0.38405797101449274,,,0.3466036414565826,
15,warnings and precautions,all,1369,1041.0,1358,0.5680497925311203,0.502016868353502,0.5329959120109014,0.5406272032911971,0.5418009978251377,0.513988949603866
16,warnings and precautions,discontinuous,67,,332,,0.16791979949874686,,,0.21052022302022302,
17,warnings and precautions,exact-meddra,864,,349,,0.7122835943940643,,,0.7476501371161323,
18,warnings and precautions,negated,16,,42,,0.27586206896551724,,,0.32523148148148145,
19,warnings and precautions,non-meddra,505,,1010,,0.3333333333333333,,,0.3902476649761148,
0,all,all,5494,1662.0,2916,0.7677473448854109,0.6532699167657551,0.6692029668662178,0.6827932648137068,0.6396438938745183,0.6501344222660551
