,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
102,ULORIC,adverse reactions,exact-meddra,187,278,172,,15,,0.9197860962566845,
103,ULORIC,adverse reactions,non-meddra,23,278,1,,22,,0.043478260869565216,
104,ULORIC,adverse reactions,discontinuous,18,278,0,,18,,0.0,
105,ULORIC,warnings and precautions,all,11,31,2,29.0,9,0.06451612903225806,0.18181818181818182,0.09523809523809523
106,ULORIC,warnings and precautions,exact-meddra,2,31,2,,0,,1.0,
107,ULORIC,warnings and precautions,non-meddra,9,31,0,,9,,0.0,
108,ULORIC,all-concat,all,218,294,174,120.0,44,0.5918367346938775,0.7981651376146789,0.6796875000000001
109,ULORIC,all-concat,exact-meddra,188,294,173,,15,,0.9202127659574468,
110,ULORIC,all-concat,non-meddra,30,294,1,,29,,0.03333333333333333,
111,ULORIC,all-concat,discontinuous,18,294,0,,18,,0.0,
112,CIMZIA,adverse reactions,all,107,142,77,65.0,30,0.5422535211267606,0.719626168224299,0.6184738955823293
113,CIMZIA,adverse reactions,exact-meddra,76,142,73,,3,,0.9605263157894737,
114,CIMZIA,adverse reactions,non-meddra,31,142,4,,27,,0.12903225806451613,
115,CIMZIA,adverse reactions,negated,1,142,1,,0,,1.0,
116,CIMZIA,adverse reactions,discontinuous,10,142,0,,10,,0.0,
117,CIMZIA,warnings and precautions,all,72,105,32,73.0,40,0.3047619047619048,0.4444444444444444,0.3615819209039548
118,CIMZIA,warnings and precautions,exact-meddra,25,105,25,,0,,1.0,
119,CIMZIA,warnings and precautions,non-meddra,47,105,7,,40,,0.14893617021276595,
120,CIMZIA,warnings and precautions,negated,2,105,1,,1,,0.5,
121,CIMZIA,warnings and precautions,discontinuous,10,105,0,,10,,0.0,
122,CIMZIA,boxed warnings,all,27,27,11,16.0,16,0.4074074074074074,0.4074074074074074,0.4074074074074074
123,CIMZIA,boxed warnings,exact-meddra,13,27,11,,2,,0.8461538461538461,
124,CIMZIA,boxed warnings,non-meddra,14,27,0,,14,,0.0,
125,CIMZIA,boxed warnings,discontinuous,8,27,0,,8,,0.0,
126,CIMZIA,all-concat,all,172,211,99,112.0,73,0.46919431279620855,0.5755813953488372,0.5169712793733682
127,CIMZIA,all-concat,exact-meddra,92,211,88,,4,,0.9565217391304348,
128,CIMZIA,all-concat,non-meddra,80,211,11,,69,,0.1375,
129,CIMZIA,all-concat,negated,3,211,2,,1,,0.6666666666666666,
130,CIMZIA,all-concat,discontinuous,27,211,0,,27,,0.0,
131,KALYDECO,adverse reactions,all,40,49,24,25.0,16,0.4897959183673469,0.6,0.5393258426966292
132,KALYDECO,adverse reactions,exact-meddra,24,49,24,,0,,1.0,
133,KALYDECO,adverse reactions,non-meddra,16,49,0,,16,,0.0,
134,KALYDECO,adverse reactions,discontinuous,10,49,0,,10,,0.0,
