,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,102,106,0.0,22,1.0,0.828125,0.905982905982906
1,KYPROLIS,adverse reactions,exact-meddra,104,102,94,,10,,0.9038461538461539,
2,KYPROLIS,adverse reactions,non-meddra,25,102,12,,13,,0.48,
3,KYPROLIS,adverse reactions,discontinuous,3,102,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,57,55,8.0,10,0.873015873015873,0.8461538461538461,0.859375
5,KYPROLIS,warnings and precautions,exact-meddra,44,57,41,,3,,0.9318181818181818,
6,KYPROLIS,warnings and precautions,non-meddra,22,57,14,,8,,0.6363636363636364,
7,KYPROLIS,warnings and precautions,discontinuous,1,57,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,74,92,1.0,66,0.989247311827957,0.5822784810126582,0.7330677290836652
9,KYPROLIS,all-concat,exact-meddra,119,74,78,,41,,0.6554621848739496,
10,KYPROLIS,all-concat,non-meddra,40,74,14,,26,,0.35,
11,KYPROLIS,all-concat,discontinuous,4,74,1,,3,,0.25,
12,MULTAQ,adverse reactions,all,39,30,38,0.0,1,1.0,0.9743589743589743,0.9870129870129869
13,MULTAQ,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
14,MULTAQ,adverse reactions,non-meddra,13,30,12,,1,,0.9230769230769231,
15,MULTAQ,adverse reactions,discontinuous,5,30,5,,0,,1.0,
16,MULTAQ,warnings and precautions,all,25,23,22,4.0,3,0.8461538461538461,0.88,0.8627450980392156
17,MULTAQ,warnings and precautions,exact-meddra,13,23,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,23,10,,2,,0.8333333333333334,
19,MULTAQ,warnings and precautions,discontinuous,3,23,3,,0,,1.0,
20,MULTAQ,boxed warnings,all,3,7,3,1.0,0,0.75,1.0,0.8571428571428571
21,MULTAQ,boxed warnings,exact-meddra,3,7,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,39,48,2.0,9,0.96,0.8421052631578947,0.8971962616822429
23,MULTAQ,all-concat,exact-meddra,32,39,30,,2,,0.9375,
24,MULTAQ,all-concat,non-meddra,25,39,18,,7,,0.72,
25,MULTAQ,all-concat,discontinuous,8,39,7,,1,,0.875,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,0,,1.0,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,2,,0,,1.0,
32,TEFLARO,adverse reactions,all,30,32,30,2.0,0,0.9375,1.0,0.967741935483871
33,TEFLARO,adverse reactions,exact-meddra,26,32,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,32,4,,0,,1.0,
35,TEFLARO,warnings and precautions,all,12,8,8,2.0,4,0.8,0.6666666666666666,0.7272727272727272
36,TEFLARO,warnings and precautions,exact-meddra,2,8,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,10,8,6,,4,,0.6,
38,TEFLARO,warnings and precautions,negated,1,8,1,,0,,1.0,
39,TEFLARO,warnings and precautions,discontinuous,2,8,2,,0,,1.0,
40,TEFLARO,all-concat,all,38,30,32,1.0,6,0.9696969696969697,0.8421052631578947,0.9014084507042254
41,TEFLARO,all-concat,exact-meddra,27,30,27,,0,,1.0,
42,TEFLARO,all-concat,non-meddra,11,30,5,,6,,0.45454545454545453,
43,TEFLARO,all-concat,negated,1,30,1,,0,,1.0,
44,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,3,,0,,1.0,
