,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5102,307.0,86,0.9432427435755223,0.9834232845026986,0.9629140322732849,0.9517095557242867,0.976483459269024,0.9621736532950494
1,adverse reactions,discontinuous,337,,2997,,0.10107978404319136,,,0.12645539687978205,
2,adverse reactions,exact-meddra,4025,,429,,0.9036820835204311,,,0.8841934111261801,
3,adverse reactions,hypothetical,74,,1167,,0.05962933118452861,,,0.07557005677362674,
4,adverse reactions,negated,65,,1600,,0.03903903903903904,,,0.05932125081480864,
5,adverse reactions,non-meddra,1077,,3055,,0.260648596321394,,,0.27731866210048056,
6,all-concat,all,6534,848.0,191,0.885125982118667,0.9715985130111524,0.9263486212518607,0.8987276409235838,0.9565935297533308,0.9222027718548813
7,all-concat,discontinuous,623,,3793,,0.14107789855072464,,,0.14489193728829294,
8,all-concat,exact-meddra,4533,,642,,0.8759420289855072,,,0.84904891113292,
9,all-concat,hypothetical,812,,3324,,0.19632495164410058,,,0.21039343857042106,
10,all-concat,negated,111,,2622,,0.04061470911086718,,,0.057966016951591696,
11,all-concat,non-meddra,2001,,3100,,0.392276024308959,,,0.379552981227335,
12,boxed warnings,all,266,8.0,67,0.9708029197080292,0.7987987987987988,0.8764415156507415,0.9756265664160401,0.8017309688362321,0.8594665962758433
13,boxed warnings,discontinuous,35,,85,,0.2916666666666667,,,0.32754403879723576,
14,boxed warnings,exact-meddra,136,,106,,0.5619834710743802,,,0.5489962465995778,
15,boxed warnings,hypothetical,117,,139,,0.45703125,,,0.5642600642256106,
16,boxed warnings,negated,5,,38,,0.11627906976744186,,,0.3821428571428571,
17,boxed warnings,non-meddra,130,,162,,0.4452054794520548,,,0.5171068267817494,
18,warnings and precautions,all,2386,341.0,408,0.8749541620828749,0.8539727988546886,0.8643361709835174,0.9057941818445395,0.8022778619182598,0.8247345349659091
19,warnings and precautions,discontinuous,318,,1645,,0.1619969434538971,,,0.19995664554129558,
20,warnings and precautions,exact-meddra,1130,,932,,0.5480116391852571,,,0.49234674653851146,
21,warnings and precautions,hypothetical,778,,1359,,0.36406176883481517,,,0.39168628095979857,
22,warnings and precautions,negated,49,,748,,0.06148055207026349,,,0.08890637038089327,
23,warnings and precautions,non-meddra,1256,,1119,,0.5288421052631579,,,0.5259633147450669,
0,all,all,7754,656.0,561,0.9219976218787158,0.9325315694527961,0.9024692512638961,0.9366886029274696,0.8767438932543197,0.8891462692075222
