,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,83,77,6.0,51,0.927710843373494,0.6015625,0.7298578199052133
1,KYPROLIS,adverse reactions,exact-meddra,104,83,69,,35,,0.6634615384615384,
2,KYPROLIS,adverse reactions,non-meddra,25,83,8,,17,,0.32,
3,KYPROLIS,adverse reactions,discontinuous,3,83,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,22,22,0.0,43,1.0,0.3384615384615385,0.5057471264367815
5,KYPROLIS,warnings and precautions,exact-meddra,44,22,18,,26,,0.4090909090909091,
6,KYPROLIS,warnings and precautions,non-meddra,22,22,4,,18,,0.18181818181818182,
7,KYPROLIS,warnings and precautions,discontinuous,1,22,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,126,110,16.0,48,0.873015873015873,0.6962025316455697,0.7746478873239436
9,KYPROLIS,all-concat,exact-meddra,119,126,95,,24,,0.7983193277310925,
10,KYPROLIS,all-concat,non-meddra,40,126,15,,25,,0.375,
11,KYPROLIS,all-concat,discontinuous,4,126,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,38,28,10.0,11,0.7368421052631579,0.717948717948718,0.7272727272727273
13,MULTAQ,adverse reactions,exact-meddra,26,38,22,,4,,0.8461538461538461,
14,MULTAQ,adverse reactions,non-meddra,13,38,6,,7,,0.46153846153846156,
15,MULTAQ,adverse reactions,discontinuous,5,38,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,22,18,4.0,7,0.8181818181818182,0.72,0.7659574468085107
17,MULTAQ,warnings and precautions,exact-meddra,13,22,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,22,6,,6,,0.5,
19,MULTAQ,warnings and precautions,discontinuous,3,22,1,,2,,0.3333333333333333,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,47,36,11.0,21,0.7659574468085106,0.631578947368421,0.6923076923076923
23,MULTAQ,all-concat,exact-meddra,32,47,28,,4,,0.875,
24,MULTAQ,all-concat,non-meddra,25,47,8,,17,,0.32,
25,MULTAQ,all-concat,discontinuous,8,47,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,28,26,2.0,4,0.9285714285714286,0.8666666666666667,0.896551724137931
33,TEFLARO,adverse reactions,exact-meddra,26,28,24,,2,,0.9230769230769231,
34,TEFLARO,adverse reactions,non-meddra,4,28,2,,2,,0.5,
35,TEFLARO,warnings and precautions,all,12,9,2,7.0,10,0.2222222222222222,0.16666666666666666,0.1904761904761905
36,TEFLARO,warnings and precautions,exact-meddra,2,9,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,10,9,2,,8,,0.2,
38,TEFLARO,warnings and precautions,negated,1,9,0,,1,,0.0,
39,TEFLARO,warnings and precautions,discontinuous,2,9,1,,1,,0.5,
40,TEFLARO,all-concat,all,38,30,28,2.0,10,0.9333333333333333,0.7368421052631579,0.8235294117647058
41,TEFLARO,all-concat,exact-meddra,27,30,25,,2,,0.9259259259259259,
42,TEFLARO,all-concat,non-meddra,11,30,3,,8,,0.2727272727272727,
43,TEFLARO,all-concat,negated,1,30,0,,1,,0.0,
44,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,2,,1,,0.6666666666666666,
48,DATSCAN,warnings and precautions,all,3,8,3,5.0,0,0.375,1.0,0.5454545454545454
49,DATSCAN,warnings and precautions,exact-meddra,1,8,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,8,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,12,11,1.0,1,0.9166666666666666,0.9166666666666666,0.9166666666666666
52,DATSCAN,all-concat,exact-meddra,9,12,9,,0,,1.0,
53,DATSCAN,all-concat,non-meddra,3,12,2,,1,,0.6666666666666666,
54,TIVICAY,adverse reactions,all,45,34,27,7.0,18,0.7941176470588235,0.6,0.6835443037974683
55,TIVICAY,adverse reactions,exact-meddra,30,34,24,,6,,0.8,
56,TIVICAY,adverse reactions,non-meddra,15,34,3,,12,,0.2,
57,TIVICAY,adverse reactions,discontinuous,8,34,2,,6,,0.25,
58,TIVICAY,warnings and precautions,all,29,27,19,8.0,10,0.7037037037037037,0.6551724137931034,0.6785714285714286
59,TIVICAY,warnings and precautions,exact-meddra,10,27,7,,3,,0.7,
60,TIVICAY,warnings and precautions,non-meddra,19,27,12,,7,,0.631578947368421,
61,TIVICAY,warnings and precautions,discontinuous,2,27,0,,2,,0.0,
62,TIVICAY,all-concat,all,71,68,43,25.0,28,0.6323529411764706,0.6056338028169014,0.618705035971223
63,TIVICAY,all-concat,exact-meddra,37,68,30,,7,,0.8108108108108109,
64,TIVICAY,all-concat,non-meddra,34,68,13,,21,,0.38235294117647056,
65,TIVICAY,all-concat,discontinuous,10,68,5,,5,,0.5,
66,TAFINLAR,adverse reactions,all,112,68,63,5.0,49,0.9264705882352942,0.5625,0.7
67,TAFINLAR,adverse reactions,exact-meddra,94,68,53,,41,,0.5638297872340425,
68,TAFINLAR,adverse reactions,non-meddra,18,68,10,,8,,0.5555555555555556,
69,TAFINLAR,warnings and precautions,all,63,32,27,5.0,36,0.84375,0.42857142857142855,0.5684210526315789
70,TAFINLAR,warnings and precautions,exact-meddra,28,32,23,,5,,0.8214285714285714,
71,TAFINLAR,warnings and precautions,non-meddra,35,32,4,,31,,0.11428571428571428,
72,TAFINLAR,warnings and precautions,discontinuous,2,32,1,,1,,0.5,
73,TAFINLAR,all-concat,all,158,66,55,11.0,103,0.8333333333333334,0.34810126582278483,0.4910714285714286
74,TAFINLAR,all-concat,exact-meddra,110,66,49,,61,,0.44545454545454544,
75,TAFINLAR,all-concat,non-meddra,48,66,6,,42,,0.125,
76,TAFINLAR,all-concat,discontinuous,2,66,0,,2,,0.0,
77,HORIZANT,adverse reactions,all,27,25,24,1.0,3,0.96,0.8888888888888888,0.923076923076923
78,HORIZANT,adverse reactions,exact-meddra,26,25,23,,3,,0.8846153846153846,
79,HORIZANT,adverse reactions,non-meddra,1,25,1,,0,,1.0,
80,HORIZANT,warnings and precautions,all,40,22,18,4.0,22,0.8181818181818182,0.45,0.5806451612903226
81,HORIZANT,warnings and precautions,exact-meddra,17,22,13,,4,,0.7647058823529411,
82,HORIZANT,warnings and precautions,non-meddra,23,22,5,,18,,0.21739130434782608,
83,HORIZANT,warnings and precautions,negated,2,22,1,,1,,0.5,
84,HORIZANT,warnings and precautions,discontinuous,12,22,1,,11,,0.08333333333333333,
85,HORIZANT,all-concat,all,62,39,29,10.0,33,0.7435897435897436,0.46774193548387094,0.5742574257425742
86,HORIZANT,all-concat,exact-meddra,38,39,24,,14,,0.631578947368421,
87,HORIZANT,all-concat,non-meddra,24,39,5,,19,,0.20833333333333334,
88,HORIZANT,all-concat,negated,2,39,0,,2,,0.0,
89,HORIZANT,all-concat,discontinuous,12,39,0,,12,,0.0,
90,IMBRUVICA,adverse reactions,all,70,62,57,5.0,13,0.9193548387096774,0.8142857142857143,0.8636363636363636
91,IMBRUVICA,adverse reactions,exact-meddra,55,62,51,,4,,0.9272727272727272,
92,IMBRUVICA,adverse reactions,non-meddra,15,62,6,,9,,0.4,
93,IMBRUVICA,adverse reactions,discontinuous,2,62,0,,2,,0.0,
94,IMBRUVICA,warnings and precautions,all,32,29,23,6.0,9,0.7931034482758621,0.71875,0.7540983606557378
95,IMBRUVICA,warnings and precautions,exact-meddra,16,29,14,,2,,0.875,
96,IMBRUVICA,warnings and precautions,non-meddra,16,29,9,,7,,0.5625,
97,IMBRUVICA,all-concat,all,89,74,64,10.0,25,0.8648648648648649,0.7191011235955056,0.7852760736196319
98,IMBRUVICA,all-concat,exact-meddra,62,74,53,,9,,0.8548387096774194,
99,IMBRUVICA,all-concat,non-meddra,27,74,11,,16,,0.4074074074074074,
100,IMBRUVICA,all-concat,discontinuous,2,74,0,,2,,0.0,
101,ULORIC,adverse reactions,all,210,195,182,13.0,28,0.9333333333333333,0.8666666666666667,0.8987654320987654
102,ULORIC,adverse reactions,exact-meddra,187,195,169,,18,,0.9037433155080213,
103,ULORIC,adverse reactions,non-meddra,23,195,13,,10,,0.5652173913043478,
104,ULORIC,adverse reactions,discontinuous,18,195,4,,14,,0.2222222222222222,
105,ULORIC,warnings and precautions,all,11,16,4,12.0,7,0.25,0.36363636363636365,0.2962962962962963
