,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5228,181.0,59,0.9665372527269366,0.9888405522980896,0.9775617053103964,0.9687544814086163,0.984416108681255,0.9751972211648688
1,adverse reactions,discontinuous,362,,2796,,0.11462951234958835,,,0.1473102431250508,
2,adverse reactions,exact-meddra,4084,,305,,0.9305080884028253,,,0.9138531305718004,
3,adverse reactions,negated,68,,1417,,0.04579124579124579,,,0.06851522691057212,
4,adverse reactions,non-meddra,1144,,2589,,0.30645593356549694,,,0.3245477475193881,
5,all-concat,all,6947,435.0,96,0.9410728799783257,0.986369444838847,0.9631889081455804,0.9440880774374926,0.9673567198147867,0.9529581196931198
6,all-concat,discontinuous,690,,3504,,0.16452074391988555,,,0.16989579595303284,
7,all-concat,exact-meddra,4728,,393,,0.9232571763327475,,,0.8843086359680903,
8,all-concat,negated,116,,2358,,0.04688763136620857,,,0.06096528373643201,
9,all-concat,non-meddra,2219,,2435,,0.4767941555651053,,,0.44860724890399173,
10,boxed warnings,all,265,9.0,58,0.9671532846715328,0.8204334365325078,0.8877721943048577,0.9785505430242273,0.8518145110250374,0.8921880356923291
11,boxed warnings,discontinuous,36,,67,,0.34951456310679613,,,0.40829170829170824,
12,boxed warnings,exact-meddra,136,,89,,0.6044444444444445,,,0.6029418610063771,
13,boxed warnings,negated,5,,39,,0.11363636363636363,,,0.42342342342342343,
14,boxed warnings,non-meddra,129,,143,,0.4742647058823529,,,0.5563579543139203,
15,warnings and precautions,all,2477,250.0,313,0.9083241657499084,0.8878136200716846,0.8979517853906109,0.9308472241459687,0.8271908447284712,0.8537512292807546
16,warnings and precautions,discontinuous,339,,1516,,0.18274932614555256,,,0.22746240772771933,
17,warnings and precautions,exact-meddra,1157,,739,,0.6102320675105485,,,0.5437541982926192,
18,warnings and precautions,negated,53,,672,,0.07310344827586207,,,0.0968125988397216,
19,warnings and precautions,non-meddra,1320,,862,,0.6049495875343721,,,0.5846925148838344,
0,all,all,7970,440.0,430,0.9476813317479191,0.9488095238095238,0.9286433378385262,0.9547512881328383,0.8984427556543214,0.91191497429743
